"Date
(YY:MM:DD)","Time
(HH:MM:SS)","Time
(µs)","Ax
(m/s^2)","Ay
(m/s^2)","Az
(m/s^2)","Gx
(deg/s)","Gy
(deg/s)","Gz
(deg/s)"
2021-09-22,13:11:05,753306,0.5315127685546874,1.5370774658203123,9.284714038085937,-1.5853658536585367,2.1341463414634148,-3.414634146341464
2021-09-22,13:11:05,953432,0.469263525390625,1.419761584472656,9.203311181640624,-4.024390243902439,2.378048780487805,-4.573170731707317
2021-09-22,13:11:06,156564,0.4572925170898437,1.66636435546875,9.2320416015625,-0.7926829268292683,-3.5975609756097566,-3.658536585365854
2021-09-22,13:11:06,357394,0.5386953735351562,1.4245499877929686,9.327809667968749,-0.9756097560975611,-3.2926829268292686,-0.9146341463414634
2021-09-22,13:11:06,557853,1.0606313354492187,1.8938135131835936,10.046070166015625,0.3658536585365854,-3.9024390243902443,-4.207317073170732
2021-09-22,13:11:06,758657,0.4644751220703125,1.6232687255859375,9.33978067626953,-1.8902439024390245,-0.7317073170731708,-2.1951219512195124
2021-09-22,13:11:06,958945,0.43574470214843747,1.7741034301757812,9.248801013183593,-3.1707317073170733,-1.0365853658536586,3.353658536585366
2021-09-22,13:11:07,158921,0.5865794067382812,1.4101847778320311,9.473855969238281,-1.829268292682927,-2.5609756097560976,-4.2682926829268295
2021-09-22,13:11:07,359431,0.6081272216796875,1.697488977050781,9.255983618164063,4.207317073170732,-11.28048780487805,3.231707317073171
2021-09-22,13:11:07,559854,0.622492431640625,1.0223241088867188,9.246406811523437,-1.5853658536585367,10.487804878048781,3.048780487804878
2021-09-22,13:11:07,760242,0.30885201416015623,0.8978256225585937,8.904035974121093,-11.76829268292683,3.658536585365854,-5.3048780487804885
2021-09-22,13:11:07,960305,0.8164227661132812,1.0199299072265624,9.0788126953125,-4.085365853658537,-7.439024390243903,-35.670731707317074
2021-09-22,13:11:08,160735,-0.21308394775390624,-0.21068974609375,8.051700183105469,-12.74390243902439,5.7926829268292686,0.24390243902439027
2021-09-22,13:11:08,368505,0.3687070556640625,0.8714894042968749,9.957484704589843,-14.390243902439027,-13.597560975609758,3.353658536585366
2021-09-22,13:11:08,570039,1.70467158203125,1.7836802368164062,6.58884296875,-56.21951219512196,-0.1829268292682927,-2.7439024390243905
2021-09-22,13:11:08,770644,-0.14604630126953125,1.4963760375976562,8.33182177734375,-13.04878048780488,25.30487804878049,-21.463414634146343
2021-09-22,13:11:08,971699,-0.852335791015625,1.9536685546875,9.375693701171874,-26.58536585365854,4.695121951219512,-13.109756097560977
2021-09-22,13:11:09,172285,0.8379705810546875,0.0383072265625,9.87608184814453,-3.8414634146341466,-1.402439024390244,11.158536585365855
2021-09-22,13:11:09,372979,-0.4429273071289062,-0.45489831542968745,8.655039001464843,3.1097560975609757,-2.682926829268293,3.353658536585366
2021-09-22,13:11:09,575184,-1.4030021728515625,-0.29927520751953124,7.920019091796875,-2.3170731707317076,-4.75609756097561,-1.9512195121951221
2021-09-22,13:11:09,777573,-0.28490999755859375,-0.7230489013671875,8.774749084472656,11.890243902439025,-5.670731707317073,-9.634146341463415
2021-09-22,13:11:09,978539,0.086191259765625,1.3742717529296875,9.114725720214842,40.54878048780488,17.804878048780488,-5.975609756097562
2021-09-22,13:11:10,178995,0.814028564453125,-0.3687070556640625,8.738836059570312,-31.219512195121954,-21.82926829268293,-22.5609756097561
2021-09-22,13:11:10,380141,-0.6631938598632812,2.384624853515625,8.911218579101561,18.29268292682927,2.1341463414634148,-23.719512195121954
2021-09-22,13:11:10,581625,-0.45968671875,1.5897499023437498,8.738836059570312,-6.341463414634147,-0.1829268292682927,-0.9146341463414634
